iter	Passed	Remaining
0	361	108195
1	926	138070
2	1344	133098
3	1655	122523
4	1961	115701
5	2238	109707
6	2533	106063
7	2817	102823
8	3129	101180
9	3475	100798
10	3781	99347
11	4083	98001
12	4390	96939
13	4664	95297
14	5078	96488
15	5378	95463
16	5834	97125
17	6136	96144
18	6489	95978
19	6878	96301
20	7225	95994
21	7598	96023
22	7987	96197
23	8320	95687
24	8705	95764
25	9125	96166
26	9465	95706
27	9901	96189
28	10272	95991
29	10630	95670
30	11090	96238
31	11482	96168
32	11859	95954
33	12287	96131
34	12713	96259
35	13080	95924
36	13793	98047
37	14688	101270
38	15049	100713
39	15511	100823
40	15968	100875
41	16448	101041
42	17037	101827
43	17401	101245
44	17762	100654
45	18148	100209
46	18421	99161
47	18747	98424
48	19027	97465
49	19436	97184
50	19804	96690
51	20220	96434
52	20621	96103
53	21048	95886
54	21449	95546
55	21784	94917
56	22158	94465
57	22527	93993
58	22871	93422
59	23263	93055
60	23803	93261
61	24284	93221
62	25195	94783
63	25756	94977
64	26157	94570
65	26611	94349
66	26862	93417
67	27313	93186
68	27687	92693
69	28043	92142
70	28401	91603
71	28748	91037
72	29146	90633
73	29548	90243
74	29976	89930
75	30486	89854
76	30883	89442
77	31272	89007
78	31688	88648
79	32184	88506
80	32632	88229
81	33083	87953
82	33456	87469
83	33829	86988
84	34197	86500
85	34591	86075
86	35045	85801
87	35466	85441
88	35866	85031
89	36258	84602
90	36657	84191
91	36995	83642
92	37325	83078
93	37737	82701
94	38201	82433
95	38648	82128
96	38989	81596
97	39350	81109
98	39850	80909
99	40387	80774
100	40870	80527
101	41297	80164
102	41875	80092
103	42415	79935
104	42821	79525
105	43218	79097
106	43611	78664
107	44044	78300
108	44466	77918
109	44951	77643
110	45328	77180
111	45677	76673
112	46168	76403
113	46647	76109
114	47015	75633
115	47434	75240
116	47876	74883
117	48236	74398
118	48649	73996
119	49135	73703
120	49573	73336
121	49868	72759
122	50261	72327
123	50623	71852
124	51103	71544
125	51525	71153
126	51910	70712
127	52311	70293
128	52757	69934
129	53196	69565
130	53738	69326
131	54267	69068
132	54685	68665
133	55076	68229
134	55424	67740
135	55732	67206
136	56143	66797
137	56498	66324
138	56886	65890
139	57312	65499
140	57682	65046
141	58058	64600
142	58422	64141
143	58996	63912
144	59474	63575
145	59924	63208
146	60243	62702
147	60644	62283
148	60960	61778
149	61401	61401
150	61911	61091
151	62353	60712
152	62782	60320
153	63194	59911
154	63675	59567
155	64122	59189
156	64490	58739
157	65031	58445
158	65614	58186
159	65989	57740
160	66586	57488
161	67235	57274
162	67669	56875
163	68113	56484
164	68495	56041
165	68879	55601
166	69533	55376
167	69944	54956
168	70281	54478
169	70744	54098
170	71208	53718
171	71554	53249
172	71905	52786
173	72321	52370
174	72735	51954
175	73363	51688
176	73895	51350
177	74148	50820
178	74633	50450
179	75065	50043
180	75416	49583
181	75871	49191
182	76315	48791
183	76699	48354
184	77062	47903
185	77487	47492
186	77933	47093
187	78434	46726
188	79002	46398
189	79564	46063
190	80574	45982
191	81351	45760
192	81847	45376
193	82316	44977
194	83144	44770
195	83635	44378
196	84124	43983
197	84707	43637
198	85170	43227
199	85553	42776
200	85893	42305
201	86276	41857
202	86719	41437
203	87032	40956
204	87324	40467
205	87761	40046
206	88133	39596
207	88502	39145
208	88794	38661
209	89176	38218
210	89551	37772
211	89968	37345
212	90383	36917
213	90903	36531
214	91447	36153
215	91935	35752
216	92347	35321
217	92938	34958
218	93445	34562
219	93886	34140
220	94535	33793
221	95001	33378
222	95570	32999
223	96062	32592
224	96448	32149
225	96786	31691
226	97275	31282
227	97737	30864
228	98037	30395
229	98402	29948
230	99247	29645
231	99668	29213
232	100032	28764
233	100560	28363
234	101064	27954
235	101471	27517
236	101987	27110
237	102539	26711
238	103062	26304
239	103637	25909
240	104459	25573
241	105095	25188
242	105670	24787
243	105995	24326
244	106421	23890
245	106783	23440
246	107220	23006
247	107739	22590
248	107938	22107
249	108291	21658
250	108622	21205
251	108936	20749
252	109326	20309
253	109945	19911
254	110555	19509
255	111120	19098
256	111479	18652
257	111963	18226
258	112364	17787
259	112761	17347
260	113192	16913
261	113525	16465
262	113942	16030
263	114331	15590
264	114649	15142
265	114905	14687
266	115316	14252
267	115709	13816
268	116047	13373
269	116516	12946
270	116833	12502
271	117134	12058
272	117487	11619
273	117900	11187
274	118239	10749
275	118504	10304
276	118781	9862
277	119152	9429
278	119487	8993
279	119888	8563
280	120260	8131
281	120600	7697
282	121064	7272
283	121385	6838
284	121745	6407
285	122106	5977
286	122495	5548
287	122900	5120
288	123277	4692
289	123597	4261
290	123983	3834
291	124476	3410
292	124898	2983
293	125415	2559
294	125894	2133
295	126413	1708
296	126952	1282
297	127405	855
298	127962	427
299	128441	0
